SrNo,Parameter,Unit,Month,Value,Data Source
100,P-Alkalinity,mg/l,April,,CPCB 2018
101,Fluoride,mg/l,April,,CPCB 2018
102,Colour,Hazen,April,20.0,CPCB 2018
103,Boron(B),mg/l,April,0.14,CPCB 2018
104,TKN,mg/l,April,4.1,CPCB 2018
105,Potassium,mg/l,April,8.0,CPCB 2018
106,Sodium,mg/l,April,30.0,CPCB 2018
107,Total Coliform,MPN/100ml,April,,CPCB 2018
108,Faecal Coliform,MPN/100ml,April,,CPCB 2018
109,pH,-,May,7.1,CPCB 2018
110,Conductivity,µs/cm,May,643.0,CPCB 2018
111,DO,mg/l,May,,CPCB 2018
112,COD,mg/l,May,168.0,CPCB 2018
113,BOD,mg/l,May,73.0,CPCB 2018
114,NO3-N,mg/l,May,2.0,CPCB 2018
115,NH3-N,mg/l,May,24.0,CPCB 2018
116,Phosphate,mg/l,May,2.51,CPCB 2018
117,TSS,mg/l,May,105.0,CPCB 2018
118,TDS,mg/l,May,297.0,CPCB 2018
119,FS,mg/l,May,310.0,CPCB 2018
120,Turbidity,NTU,May,109.0,CPCB 2018
121,TH as CaCO3,mg/l,May,220.0,CPCB 2018
122,Ca as CaCO3,mg/l,May,124.0,CPCB 2018
123,Mg as CaCO3,mg/l,May,96.0,CPCB 2018
124,Sulphate,mg/l,May,52.0,CPCB 2018
125,Chloride,mg/l,May,48.0,CPCB 2018
126,Total alkalinity as CaCO3,mg/l,May,254.0,CPCB 2018
127,P-Alkalinity,mg/l,May,,CPCB 2018
128,Fluoride,mg/l,May,,CPCB 2018
129,Colour,Hazen,May,20.0,CPCB 2018
130,Boron(B),mg/l,May,0.14,CPCB 2018
131,TKN,mg/l,May,3.9,CPCB 2018
132,Potassium,mg/l,May,8.0,CPCB 2018
133,Sodium,mg/l,May,24.0,CPCB 2018
134,Total Coliform,MPN/100ml,May,,CPCB 2018
135,Faecal Coliform,MPN/100ml,May,,CPCB 2018
136,pH,-,June,6.9,CPCB 2018
137,Conductivity,µs/cm,June,638.0,CPCB 2018
138,DO,mg/l,June,,CPCB 2018
139,COD,mg/l,June,141.0,CPCB 2018
140,BOD,mg/l,June,65.0,CPCB 2018
141,NO3-N,mg/l,June,2.2,CPCB 2018
142,NH3-N,mg/l,June,18.0,CPCB 2018
143,Phosphate,mg/l,June,1.83,CPCB 2018
144,TSS,mg/l,June,82.0,CPCB 2018
145,TDS,mg/l,June,317.0,CPCB 2018
146,FS,mg/l,June,271.0,CPCB 2018
147,Turbidity,NTU,June,95.0,CPCB 2018
148,TH as CaCO3,mg/l,June,194.0,CPCB 2018
149,Ca as CaCO3,mg/l,June,116.0,CPCB 2018
150,Mg as CaCO3,mg/l,June,78.0,CPCB 2018
151,Sulphate,mg/l,June,51.0,CPCB 2018
152,Chloride,mg/l,June,46.0,CPCB 2018
153,Total alkalinity as CaCO3,mg/l,June,246.0,CPCB 2018
154,P-Alkalinity,mg/l,June,,CPCB 2018
155,Fluoride,mg/l,June,,CPCB 2018
156,Colour,Hazen,June,20.0,CPCB 2018
157,Boron(B),mg/l,June,,CPCB 2018
158,TKN,mg/l,June,4.3,CPCB 2018
159,Potassium,mg/l,June,9.0,CPCB 2018
160,Sodium,mg/l,June,38.0,CPCB 2018
161,Total Coliform,MPN/100ml,June,,CPCB 2018
162,Faecal Coliform,MPN/100ml,June,,CPCB 2018
163,pH,-,July,7.1,CPCB 2018
164,Conductivity,µs/cm,July,616.0,CPCB 2018
165,DO,mg/l,July,,CPCB 2018
166,COD,mg/l,July,164.0,CPCB 2018
167,BOD,mg/l,July,77.0,CPCB 2018
168,NO3-N,mg/l,July,2.4,CPCB 2018
169,NH3-N,mg/l,July,22.0,CPCB 2018
170,Phosphate,mg/l,July,2.01,CPCB 2018
171,TSS,mg/l,July,80.0,CPCB 2018
172,TDS,mg/l,July,342.0,CPCB 2018
173,FS,mg/l,July,274.0,CPCB 2018
174,Turbidity,NTU,July,113.0,CPCB 2018
175,TH as CaCO3,mg/l,July,214.0,CPCB 2018
176,Ca as CaCO3,mg/l,July,122.0,CPCB 2018
